CERT,date,method,log_deposits,cash_ratio,loan_ratio,equity_ratio,prior_growth
254,2024-09-30,PCA,0.0005255888412963512,0.40043313502742534,0.15137932647498575,0.18890045760509194,0.2587614920512006
258,2024-03-31,PCA,0.003388966524105028,0.2907357747188841,0.16163897911430836,0.010782273847567815,0.5334540057951347
258,2024-06-30,PCA,0.004416946229469326,0.0865951129559078,0.13901008330222797,0.01504102278212222,0.7549368347302727
258,2024-09-30,PCA,0.002933550498106715,0.09305493771622679,0.1983145982789478,0.008133258546216328,0.6975636549605023
262,2024-03-31,PCA,0.0014648043442643142,0.14692521043282566,0.15411867167002424,0.07384768978939622,0.6236436237634896
262,2024-06-30,PCA,0.0030788771327038473,0.19138686949092187,0.22964205330704107,0.06687782505091834,0.5090143750184148
262,2024-09-30,PCA,0.0023989348028506103,0.04769857640773213,0.060100950495279575,0.004739157065580306,0.8850623812285573
267,2024-03-31,PCA,0.0023938480303281728,0.12749255380122224,0.034465423554066295,0.215440290637229,0.6202078839771542
267,2024-06-30,PCA,0.0022946546105582603,0.048934829349255506,0.03381771017896336,0.360932726078891,0.5540200797823318
267,2024-09-30,PCA,0.002006602804561476,0.11888025508526541,0.05582617811268842,0.2640658424288352,0.5592211215686496
275,2024-03-31,PCA,0.0003594686108271868,0.15964446905030039,0.6276377186579051,0.09367660977239733,0.11868173390856994
275,2024-06-30,PCA,0.00029610142461178497,0.06528733165519814,0.6593729089290415,0.23900097082702984,0.03604268716411882
275,2024-09-30,PCA,0.0009225911756531191,0.030446844914452684,0.4005398890795769,0.19370813761791925,0.374382537212398
281,2024-03-31,PCA,0.0013312200838749744,0.12457566152432104,0.2662713620059211,0.27299255949590007,0.33482919688998286
281,2024-06-30,PCA,0.0016853117782281877,0.1577266467580055,0.28565883088500577,0.18735582001503243,0.36757339056372806
281,2024-09-30,PCA,0.0010784280369922287,0.12140934333887393,0.23620131966592592,0.28251129256592944,0.3587996163922786
284,2024-03-31,PCA,0.001982972619668123,0.027310287524116055,0.2746950562815321,0.1061520765928654,0.5898596069818183
284,2024-06-30,PCA,0.002539596011164084,0.08905608459687359,0.11943798841273495,0.07292788516169346,0.716038445817534
284,2024-09-30,PCA,0.0016277856429240645,0.20859805829663997,0.23743932348346974,0.10435450052840206,0.4479803320485642
287,2024-03-31,PCA,0.004076815537378874,0.07130190169702465,0.047452984863435736,0.31435495433952576,0.562813343562635
287,2024-06-30,PCA,0.004494702436163939,0.05986476198407554,0.024437479099060508,0.12104278131309913,0.7901602751676008
287,2024-09-30,PCA,0.003913255636911582,0.13253572708933117,0.049039886235090854,0.11715251894432864,0.6973586120943379
288,2024-03-31,PCA,0.0019383171130023628,0.010703945424682724,0.17674675912659082,0.07544120053193737,0.7351697778037867
