Quarter,Asset group,Call form,Field,Rows,API populated,Zero values,Coverage,Zero share
20110630,At least USD 1bn,100,DEPUNA,99,99,0,1.0,0.0
20110630,Below USD 1bn,2,DEPUNA,7,7,7,1.0,1.0
20110630,Below USD 1bn,31,DEPUNA,21,21,20,1.0,0.9523809523809523
20110630,Below USD 1bn,41,DEPUNA,6284,6284,6247,1.0,0.9941120305537874
20110630,Below USD 1bn,100,DEPUNA,609,269,41,0.44170771756978655,0.06732348111658457
20110930,At least USD 1bn,2,DEPUNA,10,10,4,1.0,0.4
20110930,At least USD 1bn,31,DEPUNA,89,89,3,1.0,0.033707865168539325
20110930,At least USD 1bn,41,DEPUNA,484,484,28,1.0,0.05785123966942149
20110930,At least USD 1bn,100,DEPUNA,96,96,0,1.0,0.0
20110930,Below USD 1bn,2,DEPUNA,7,7,7,1.0,1.0
20110930,Below USD 1bn,31,DEPUNA,21,21,20,1.0,0.9523809523809523
20110930,Below USD 1bn,41,DEPUNA,6226,6226,6186,1.0,0.9935753292643752
20110930,Below USD 1bn,100,DEPUNA,590,255,38,0.4322033898305085,0.06440677966101695
20111231,At least USD 1bn,2,DEPUNA,8,8,2,1.0,0.25
20111231,At least USD 1bn,31,DEPUNA,87,87,1,1.0,0.011494252873563218
20111231,At least USD 1bn,41,DEPUNA,488,488,32,1.0,0.06557377049180328
20111231,At least USD 1bn,100,DEPUNA,85,85,0,1.0,0.0
20111231,Below USD 1bn,2,DEPUNA,9,9,9,1.0,1.0
20111231,Below USD 1bn,31,DEPUNA,20,20,20,1.0,1.0
20111231,Below USD 1bn,41,DEPUNA,6193,6193,6156,1.0,0.9940255126756015
20111231,Below USD 1bn,100,DEPUNA,553,238,35,0.43037974683544306,0.06329113924050633
20120331,At least USD 1bn,2,DEPUNA,9,9,3,1.0,0.3333333333333333
20120331,At least USD 1bn,31,DEPUNA,79,79,1,1.0,0.012658227848101266
20120331,At least USD 1bn,41,DEPUNA,587,587,24,1.0,0.04088586030664395
20120331,Below USD 1bn,2,DEPUNA,8,8,8,1.0,1.0
20120331,Below USD 1bn,31,DEPUNA,19,19,19,1.0,1.0
20120331,Below USD 1bn,41,DEPUNA,6692,6692,6652,1.0,0.9940227136879857
20120630,At least USD 1bn,2,DEPUNA,9,9,3,1.0,0.3333333333333333
20120630,At least USD 1bn,31,DEPUNA,81,81,1,1.0,0.012345679012345678
20120630,At least USD 1bn,41,DEPUNA,581,581,24,1.0,0.04130808950086059
20120630,Below USD 1bn,2,DEPUNA,8,8,8,1.0,1.0
20120630,Below USD 1bn,31,DEPUNA,19,19,19,1.0,1.0
20120630,Below USD 1bn,41,DEPUNA,6633,6633,6585,1.0,0.9927634554500226
20120930,At least USD 1bn,2,DEPUNA,10,10,4,1.0,0.4
20120930,At least USD 1bn,31,DEPUNA,82,82,2,1.0,0.024390243902439025
20120930,At least USD 1bn,41,DEPUNA,579,579,30,1.0,0.05181347150259067
20120930,Below USD 1bn,2,DEPUNA,7,7,7,1.0,1.0
20120930,Below USD 1bn,31,DEPUNA,19,19,18,1.0,0.9473684210526315
20120930,Below USD 1bn,41,DEPUNA,6569,6569,6518,1.0,0.9922362612269752
20121231,At least USD 1bn,2,DEPUNA,9,9,3,1.0,0.3333333333333333
20121231,At least USD 1bn,31,DEPUNA,82,82,1,1.0,0.012195121951219513
20121231,At least USD 1bn,41,DEPUNA,582,582,35,1.0,0.06013745704467354
20121231,Below USD 1bn,2,DEPUNA,7,7,7,1.0,1.0
20121231,Below USD 1bn,31,DEPUNA,19,19,19,1.0,1.0
20121231,Below USD 1bn,41,DEPUNA,6467,6467,6422,1.0,0.9930415957940313
20130331,At least USD 1bn,2,DEPUNA,9,9,3,1.0,0.3333333333333333
20130331,At least USD 1bn,31,DEPUNA,75,75,1,1.0,0.013333333333333334
20130331,At least USD 1bn,41,DEPUNA,590,590,26,1.0,0.04406779661016949
20130331,Below USD 1bn,2,DEPUNA,7,7,7,1.0,1.0
20130331,Below USD 1bn,31,DEPUNA,20,20,18,1.0,0.9
20130331,Below USD 1bn,41,DEPUNA,6400,6400,6353,1.0,0.99265625
20130630,At least USD 1bn,2,DEPUNA,11,11,5,1.0,0.45454545454545453
20130630,At least USD 1bn,31,DEPUNA,76,76,2,1.0,0.02631578947368421
20130630,At least USD 1bn,41,DEPUNA,579,579,18,1.0,0.031088082901554404
20130630,Below USD 1bn,2,DEPUNA,6,6,6,1.0,1.0
20130630,Below USD 1bn,31,DEPUNA,19,19,17,1.0,0.8947368421052632
20130630,Below USD 1bn,41,DEPUNA,6331,6331,6285,1.0,0.9927341652187648
20130930,At least USD 1bn,2,DEPUNA,11,11,5,1.0,0.45454545454545453
20130930,At least USD 1bn,31,DEPUNA,75,75,1,1.0,0.013333333333333334
20130930,At least USD 1bn,41,DEPUNA,595,595,32,1.0,0.05378151260504202
20130930,Below USD 1bn,2,DEPUNA,6,6,6,1.0,1.0
20130930,Below USD 1bn,31,DEPUNA,20,20,18,1.0,0.9
20130930,Below USD 1bn,41,DEPUNA,6265,6265,6222,1.0,0.9931364724660814
20131231,At least USD 1bn,2,DEPUNA,11,11,5,1.0,0.45454545454545453
