FAILDATE,CERT,RESTYPE,NAME,ID
8/6/2010,34231.0,FAILURE,RAVENSWOOD BANK,3842
7/30/2010,9619.0,FAILURE,COASTAL COMMUNITY BANK,3837
7/30/2010,22643.0,FAILURE,THE COWLITZ BANK,3838
7/30/2010,31964.0,FAILURE,LIBERTYBANK,3839
7/30/2010,57658.0,FAILURE,NORTHWEST BANK & TRUST,3840
7/30/2010,57669.0,FAILURE,BAYSIDE SAVINGS BANK,3841
7/23/2010,10506.0,FAILURE,THUNDER BANK,3830
7/23/2010,17837.0,FAILURE,WILLIAMSBURG FIRST NATIONAL BANK,3831
7/23/2010,23181.0,FAILURE,HOME VALLEY BANK,3832
7/23/2010,27559.0,FAILURE,CRESCENT BANK AND TRUST COMPANY,3833
7/23/2010,32536.0,FAILURE,STERLING BANK,3834
7/23/2010,34486.0,FAILURE,COMMUNITY SECURITY BANK,3835
7/23/2010,35434.0,FAILURE,SOUTHWESTUSA BANK,3836
7/16/2010,25172.0,FAILURE,METRO BANK OF DADE COUNTY,3824
7/16/2010,28136.0,FAILURE,"MAINSTREET SAVINGS BANK, FSB",3825
7/16/2010,28864.0,FAILURE,OLDE CYPRESS COMMUNITY BANK,3826
7/16/2010,32280.0,FAILURE,TURNBERRY BANK,3827
7/16/2010,32571.0,FAILURE,WOODLANDS BANK,3828
7/16/2010,35383.0,FAILURE,FIRST NATIONAL BANK OF THE SOUTH,3829
7/9/2010,11636.0,FAILURE,HOME NATIONAL BANK,3820
7/9/2010,32456.0,FAILURE,IDEAL FEDERAL SAVINGS BANK,3821
7/9/2010,35462.0,FAILURE,BAY NATIONAL BANK,3822
7/9/2010,58072.0,FAILURE,USA BANK,3823
6/25/2010,26563.0,FAILURE,PENINSULA BANK,3817
6/25/2010,34152.0,FAILURE,FIRST NATIONAL BANK,3818
6/25/2010,35279.0,FAILURE,HIGH DESERT STATE BANK,3819
6/18/2010,57110.0,FAILURE,NEVADA SECURITY BANK,3816
6/11/2010,32955.0,FAILURE,WASHINGTON FIRST INTERNATIONAL BANK,3815
6/4/2010,15814.0,FAILURE,FIRST NATIONAL BANK,3812
6/4/2010,29341.0,FAILURE,TIERONE BANK,3813
6/4/2010,31813.0,FAILURE,ARCOLA HOMESTEAD SAVINGS BANK,3814
5/28/2010,34785.0,FAILURE,SUN WEST BANK,3807
5/28/2010,35106.0,FAILURE,BANK OF FLORIDA - SOUTHWEST,3808
5/28/2010,57315.0,FAILURE,"GRANITE COMMUNITY BANK, NATIONAL ASSOCIATION",3809
5/28/2010,57360.0,FAILURE,BANK OF FLORIDA - SOUTHEAST,3810
5/28/2010,57814.0,FAILURE,BANK OF FLORIDA - TAMPA BAY,3811
5/21/2010,57735.0,FAILURE,PINEHURST BANK,3806
5/14/2010,18117.0,FAILURE,MIDWEST BANK AND TRUST COMPANY,3802
5/14/2010,34255.0,FAILURE,SOUTHWEST COMMUNITY BANK,3803
5/14/2010,35114.0,FAILURE,SATILLA COMMUNITY BANK,3804
5/14/2010,35586.0,FAILURE,NEW LIBERTY BANK,3805
5/7/2010,14246.0,FAILURE,THE BANK OF BONIFAY,3798
5/7/2010,16476.0,FAILURE,ACCESS BANK,3799
5/7/2010,35517.0,FAILURE,1st PACIFIC BANK OF CALIFORNIA,3800
5/7/2010,57697.0,FAILURE,TOWNE BANK OF ARIZONA,3801
4/30/2010,17792.0,FAILURE,BC NATIONAL BANKS,3791
4/30/2010,22710.0,FAILURE,FRONTIER BANK,3792
4/30/2010,27150.0,FAILURE,EUROBANK,3793
4/30/2010,30005.0,FAILURE,CF BANCORP,3794
4/30/2010,31027.0,FAILURE,WESTERNBANK PUERTO RICO,3795
4/30/2010,32185.0,FAILURE,R-G PREMIER BANK OF PUERTO RICO,3796
4/30/2010,58362.0,FAILURE,CHAMPION BANK,3797
4/23/2010,3735.0,FAILURE,"AMCORE BANK, NATIONAL ASSOCIATION",3784
4/23/2010,10888.0,FAILURE,PEOTONE BANK AND TRUST COMPANY,3785
